id,RUL
1,58
2,87
3,54
4,57
5,81
6,57
7,78
8,45
9,61
10,67
11,72
12,52
13,49
14,55
15,63
16,63
17,83
18,59
19,48
20,71
21,59
22,61
23,51
24,45
25,69
26,60
27,47
28,50
29,49
30,59
31,71
32,58
33,60
34,59
35,55
36,48
37,52
38,59
39,39
40,57
41,65
42,59
43,63
44,58
45,48
46,77
47,65
48,70
49,65
50,60
51,64
52,64
53,59
54,78
55,58
56,83
57,42
58,45
59,70
60,52
61,56
62,55
63,53
64,85
65,46
66,61
67,94
68,60
69,109
70,42
71,63
72,64
73,64
74,50
75,69
76,63
77,47
78,70
79,60
80,56
81,72
82,65
83,88
84,81
85,57
86,84
87,54
88,64
89,66
90,47
91,41
92,103
93,47
94,78
95,85
96,101
97,61
98,47
99,56
100,60
